data_classification,field_id,target_path,business_name,criticality,unit,value_json,value_sha256,quality,as_of
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.flow_velocity_m_s,engineering_indicators.observations_by_segment.*.operation_medium.flow_velocity_m_s,流速,IMPORTANT,m/s,"{""by_archetype"":{""DENSE"":10.0,""GEOHAZARD"":10.0,""INDUSTRIAL"":10.0,""RURAL"":10.0,""VILLAGE"":10.0},""segment_overrides"":{}}",e5c78dc1d76ee0eafc7be19dac5ec02926c46cabaff6cb7066bb8d6737cd8d3d,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.gas_h2s_fraction,engineering_indicators.observations_by_segment.*.operation_medium.gas_h2s_fraction,硫化氢摩尔分数,IMPORTANT,fraction,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.gas_water_content_mg_m3,engineering_indicators.observations_by_segment.*.operation_medium.gas_water_content_mg_m3,天然气含水量,IMPORTANT,mg/m3,"{""by_archetype"":{""DENSE"":20.0,""GEOHAZARD"":20.0,""INDUSTRIAL"":20.0,""RURAL"":20.0,""VILLAGE"":20.0},""segment_overrides"":{}}",945ce5f5043534d42cc7ce4ae96665c14b106b8ffeae9a42dccd0543fcab28d0,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.hydrocarbon_dew_point_k,engineering_indicators.observations_by_segment.*.operation_medium.hydrocarbon_dew_point_k,烃露点,IMPORTANT,K,"{""by_archetype"":{""DENSE"":263.15,""GEOHAZARD"":263.15,""INDUSTRIAL"":263.15,""RURAL"":263.15,""VILLAGE"":263.15},""segment_overrides"":{}}",2d6769278a931e5b036a9d7876b6b6dc6d5ae9dff6ffe5d731e91a4316ec9046,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.liquid_carryover_events_per_year,engineering_indicators.observations_by_segment.*.operation_medium.liquid_carryover_events_per_year,液体夹带事件次数,IMPORTANT,1/year,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.maximum_operating_pressure_mpa,engineering_indicators.observations_by_segment.*.operation_medium.maximum_operating_pressure_mpa,历史最高运行压力,IMPORTANT,MPa,"{""by_archetype"":{""DENSE"":8.0,""GEOHAZARD"":8.0,""INDUSTRIAL"":8.0,""RURAL"":8.0,""VILLAGE"":8.0},""segment_overrides"":{}}",14000a3ce3845181a18a1dff39342d6a5369eb261840c20e704e55d1913d0a94,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.minimum_operating_pressure_mpa,engineering_indicators.observations_by_segment.*.operation_medium.minimum_operating_pressure_mpa,历史最低运行压力,IMPORTANT,MPa,"{""by_archetype"":{""DENSE"":6.0,""GEOHAZARD"":6.0,""INDUSTRIAL"":6.0,""RURAL"":6.0,""VILLAGE"":6.0},""segment_overrides"":{}}",71bafd73fd5ccf06163d6457b5dc20ca6ea8f672fb9e2631e7c2a1b6951a44a8,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.overpressure_events_per_year,engineering_indicators.observations_by_segment.*.operation_medium.overpressure_events_per_year,年超压次数,IMPORTANT,1/year,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.pressure_cycle_count_per_year,engineering_indicators.observations_by_segment.*.operation_medium.pressure_cycle_count_per_year,年压力循环次数,IMPORTANT,1/year,"{""by_archetype"":{""DENSE"":12.0,""GEOHAZARD"":12.0,""INDUSTRIAL"":12.0,""RURAL"":12.0,""VILLAGE"":12.0},""segment_overrides"":{}}",6303146a205c297f906d80c4a995f491d0ccad4964036c8487eb4a115e0b7d9c,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.pressure_cycle_range_mpa,engineering_indicators.observations_by_segment.*.operation_medium.pressure_cycle_range_mpa,压力循环幅值,IMPORTANT,MPa,"{""by_archetype"":{""DENSE"":0.5,""GEOHAZARD"":0.5,""INDUSTRIAL"":0.5,""RURAL"":0.5,""VILLAGE"":0.5},""segment_overrides"":{}}",54f315acf1b18f3114c0001658c1d1fc37b13b3e2b065760e53929ff97376cfb,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.shutdown_events_per_year,engineering_indicators.observations_by_segment.*.operation_medium.shutdown_events_per_year,年停输次数,IMPORTANT,1/year,"{""by_archetype"":{""DENSE"":1.0,""GEOHAZARD"":1.0,""INDUSTRIAL"":1.0,""RURAL"":1.0,""VILLAGE"":1.0},""segment_overrides"":{}}",cc6fa59073dde8f39a134dcb17e7ddfc05f8f692a71b139c03548c350263d1a1,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.throughput_m3_d,engineering_indicators.observations_by_segment.*.operation_medium.throughput_m3_d,日输量,IMPORTANT,m3/d,"{""by_archetype"":{""DENSE"":1000000.0,""GEOHAZARD"":1000000.0,""INDUSTRIAL"":1000000.0,""RURAL"":1000000.0,""VILLAGE"":1000000.0},""segment_overrides"":{}}",ea67b8fd27aa442b0e78b18746f65324b072c7a37174e6c414435685c3b5637a,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.operation_medium.water_dew_point_k,engineering_indicators.observations_by_segment.*.operation_medium.water_dew_point_k,水露点,IMPORTANT,K,"{""by_archetype"":{""DENSE"":253.15,""GEOHAZARD"":253.15,""INDUSTRIAL"":253.15,""RURAL"":253.15,""VILLAGE"":253.15},""segment_overrides"":{}}",92d63426b48ddf1aedf812328b4cb9a0547f20a6b21eaecc3c5d4f7b1fd2503f,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.automatic_shutdown_available,engineering_indicators.observations_by_segment.*.valve_control.automatic_shutdown_available,自动切断可用,IMPORTANT,,"{""by_archetype"":{""DENSE"":false,""GEOHAZARD"":false,""INDUSTRIAL"":false,""RURAL"":false,""VILLAGE"":false},""segment_overrides"":{}}",26babb1c6d2a3a753687d1b4904f6a1ca63a7153f87a2beb8249ea11a2ec7c99,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.control_room_reliability,engineering_indicators.observations_by_segment.*.valve_control.control_room_reliability,控制室可靠性,IMPORTANT,,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.leak_detection_availability_fraction,engineering_indicators.observations_by_segment.*.valve_control.leak_detection_availability_fraction,泄漏检测系统可用率,IMPORTANT,fraction,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.pressure_alarm_available,engineering_indicators.observations_by_segment.*.valve_control.pressure_alarm_available,压力报警可用,IMPORTANT,,"{""by_archetype"":{""DENSE"":false,""GEOHAZARD"":false,""INDUSTRIAL"":false,""RURAL"":false,""VILLAGE"":false},""segment_overrides"":{}}",26babb1c6d2a3a753687d1b4904f6a1ca63a7153f87a2beb8249ea11a2ec7c99,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.remote_control_available,engineering_indicators.observations_by_segment.*.valve_control.remote_control_available,远程控制可用,IMPORTANT,,"{""by_archetype"":{""DENSE"":false,""GEOHAZARD"":false,""INDUSTRIAL"":false,""RURAL"":false,""VILLAGE"":false},""segment_overrides"":{}}",26babb1c6d2a3a753687d1b4904f6a1ca63a7153f87a2beb8249ea11a2ec7c99,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.scada_availability_fraction,engineering_indicators.observations_by_segment.*.valve_control.scada_availability_fraction,SCADA可用率,IMPORTANT,fraction,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.valve_fail_to_close_probability,engineering_indicators.observations_by_segment.*.valve_control.valve_fail_to_close_probability,阀门拒关概率,IMPORTANT,,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.valve_internal_leak_probability,engineering_indicators.observations_by_segment.*.valve_control.valve_internal_leak_probability,阀门内漏概率,IMPORTANT,,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.valve_test_interval_days,engineering_indicators.observations_by_segment.*.valve_control.valve_test_interval_days,阀门测试周期,IMPORTANT,day,"{""by_archetype"":{""DENSE"":0.0,""GEOHAZARD"":0.0,""INDUSTRIAL"":0.0,""RURAL"":0.0,""VILLAGE"":0.0},""segment_overrides"":{}}",c71b8c7aef79a147436b3560f81005571b3b947d30c69c2dfbdc2e9f4f8c8c42,C,2026-08-26
SYNTHETIC_TEST_ONLY,engineering_indicator.valve_control.valve_type,engineering_indicators.observations_by_segment.*.valve_control.valve_type,隔离阀类型,IMPORTANT,,"{""by_archetype"":{""DENSE"":""SYNTHETIC_BASELINE"",""GEOHAZARD"":""SYNTHETIC_BASELINE"",""INDUSTRIAL"":""SYNTHETIC_BASELINE"",""RURAL"":""SYNTHETIC_BASELINE"",""VILLAGE"":""SYNTHETIC_BASELINE""},""segment_overrides"":{}}",dcf892783980f505ac91b51f9ca483cbe40add13632577036558e19864c1361a,C,2026-08-26
SYNTHETIC_TEST_ONLY,pipeline.gas_composition_mole_fraction.carbon_dioxide,pipeline.gas_composition_mole_fraction.carbon_dioxide,二氧化碳摩尔分数,IMPORTANT,,0.012,33489efa25ff2aa92293e9f6695187a8defe09e90fdf34dddea9d45be1c124a8,C,2026-08-26
SYNTHETIC_TEST_ONLY,pipeline.gas_composition_mole_fraction.methane,pipeline.gas_composition_mole_fraction.methane,甲烷摩尔分数,IMPORTANT,,0.93,faf3c0009927f75ba8b5502aef06674c99ef23e098b860bb02a683932562957f,C,2026-08-26
SYNTHETIC_TEST_ONLY,pipeline.operating_pressure_data_status,pipeline.operating_pressure_data_status,operating_pressure_data_status,IMPORTANT,,"""SYNTHETIC_COMPLETE""",fbbd69964c85ec51bbf9ac5e8caf4fbcb247d92876ac788c121e89d4829e2e47,C,2026-08-26
SYNTHETIC_TEST_ONLY,pipeline.operating_pressure_mpa,pipeline.operating_pressure_mpa,运行压力,BLOCKING,MPa,8.0,7b1bd53949b752d143d871408483b5382371b5bc48d195d0c040ec93cfa2748b,C,2026-08-26
SYNTHETIC_TEST_ONLY,pipeline.operating_temperature_data_status,pipeline.operating_temperature_data_status,operating_temperature_data_status,IMPORTANT,,"""SYNTHETIC_COMPLETE""",fbbd69964c85ec51bbf9ac5e8caf4fbcb247d92876ac788c121e89d4829e2e47,C,2026-08-26
SYNTHETIC_TEST_ONLY,pipeline.operating_temperature_k,pipeline.operating_temperature_k,运行温度,BLOCKING,K,288.15,a07dd7b4ba7502056cc7121f4a6c0a5dd9080c1bfabe331e740a3af61912a59e,C,2026-08-26
SYNTHETIC_TEST_ONLY,pipeline.service,pipeline.service,输送介质类型,IMPORTANT,,"""natural_gas_transmission""",19bc3ad5c772877d9ea44aba02bd638fa9b74fccf0704fe956b1d68804f5b596,C,2026-08-26
SYNTHETIC_TEST_ONLY,segment.downstream_valve_km,segments.*.downstream_valve_km,下游隔离阀里程,BLOCKING,km,"{""SEG-001"":0.5,""SEG-002"":1.0,""SEG-003"":1.5,""SEG-004"":2.0,""SEG-005"":2.35,""SEG-006"":2.7,""SEG-007"":3.1,""SEG-008"":3.5,""SEG-009"":3.8,""SEG-010"":4.1,""SEG-011"":4.45,""SEG-012"":4.8,""SEG-013"":5.2,""SEG-014"":5.6,""SEG-015"":6.05,""SEG-016"":6.5,""SEG-017"":6.85,""SEG-018"":7.2,""SEG-019"":7.6,""SEG-020"":8.0}",f558cf4076422676902788205b540c6f3084bd9af11c52b485f5b7a5a1ab47f1,C,2026-08-26
SYNTHETIC_TEST_ONLY,segment.leak_detection_time_s,segments.*.leak_detection_time_s,泄漏检测时间,IMPORTANT,s,"{""SEG-001"":150.0,""SEG-002"":150.0,""SEG-003"":150.0,""SEG-004"":150.0,""SEG-005"":120.0,""SEG-006"":120.0,""SEG-007"":120.0,""SEG-008"":120.0,""SEG-009"":90.0,""SEG-010"":90.0,""SEG-011"":90.0,""SEG-012"":90.0,""SEG-013"":60.0,""SEG-014"":60.0,""SEG-015"":60.0,""SEG-016"":60.0,""SEG-017"":180.0,""SEG-018"":180.0,""SEG-019"":180.0,""SEG-020"":180.0}",4d7c7b8113ad3e24c1f4be39838fd6652262c3683d85a53d45b083c1d4150aea,C,2026-08-26
SYNTHETIC_TEST_ONLY,segment.upstream_valve_km,segments.*.upstream_valve_km,上游隔离阀里程,BLOCKING,km,"{""SEG-001"":0.0,""SEG-002"":0.5,""SEG-003"":1.0,""SEG-004"":1.5,""SEG-005"":2.0,""SEG-006"":2.35,""SEG-007"":2.7,""SEG-008"":3.1,""SEG-009"":3.5,""SEG-010"":3.8,""SEG-011"":4.1,""SEG-012"":4.45,""SEG-013"":4.8,""SEG-014"":5.2,""SEG-015"":5.6,""SEG-016"":6.05,""SEG-017"":6.5,""SEG-018"":6.85,""SEG-019"":7.2,""SEG-020"":7.6}",2a6278e46155c6d6e495a6c9c717540f857ba5907da12f7cf390a718b3725c92,C,2026-08-26
SYNTHETIC_TEST_ONLY,segment.valve_closure_time_s,segments.*.valve_closure_time_s,关阀时间,IMPORTANT,s,"{""SEG-001"":108.0,""SEG-002"":108.0,""SEG-003"":108.0,""SEG-004"":108.0,""SEG-005"":108.0,""SEG-006"":108.0,""SEG-007"":108.0,""SEG-008"":108.0,""SEG-009"":90.0,""SEG-010"":90.0,""SEG-011"":90.0,""SEG-012"":90.0,""SEG-013"":72.0,""SEG-014"":72.0,""SEG-015"":72.0,""SEG-016"":72.0,""SEG-017"":144.0,""SEG-018"":144.0,""SEG-019"":144.0,""SEG-020"":144.0}",127cfe86b4a9ccd62a441c6d91ef63baae478f2952fe1261f0fd7ac653d8ef8c,C,2026-08-26
