gap_id,field_id_or_data_group,description,severity,blocking_scope,affected_node_ids,affected_report_content,current_source_status,required_action,responsible_role,target_date,acceptance_evidence,status
"GAP-P0-SECURE-CUSTODY","SOURCE_CUSTODY","真实项目资料已进入批准的试点sources目录并形成逐文件登记","P0_BLOCKS_PILOT","FILE_INTAKE","data_inventory|indicator_coverage|segment_geometry|adaptive_evidence_qra|risk_matrix","全部真实资料筛查结果和审计链","AVAILABLE_IN_APPROVED_SOURCE_ROOT","保持workspace/pilots/jiujiang-qra-screening-pilot-v1/sources为唯一批准目录；不得复制到tests、resources或docs","VIRTUAL_STAGE1_TEST_DATA_OWNER","2026-08-31","6份批准资料的逐文件SHA-256与source-inventory一致","CLOSED_FOR_INTERNAL_STAGE1_TEST"
"GAP-P0-AUTHORITATIVE-SIGNOFF","AUTHORITATIVE_SEGMENTATION","用户代表项目领导批准第一版采用1个0.000至10.938 km权威边界；仍不得按现场照片拆成11段","P0_BLOCKS_PILOT","REVIEW","segment_geometry|adaptive_evidence_qra|risk_matrix","管段数量、里程、排序和所有分段结果","SOURCE_APPROVED_FOR_INTERNAL_TEST","保持GDBZYQ-JJ-1为第一版唯一管段；正式发布前由真实业务负责人重新签批","VIRTUAL_STAGE1_TEST_BUSINESS_OWNER_AND_QRA_REVIEWER","2026-08-31","用户消息明确全都批准并同意单段范围，仅用于跑通第一阶段测试","CLOSED_FOR_INTERNAL_STAGE1_TEST"
"GAP-P0-ROLE-ASSIGNMENT","GOVERNANCE_ROLES","按用户授权设置三个明确标注的虚拟测试角色，不代表正式任命","P0_BLOCKS_PILOT","REVIEW","data_inventory|indicator_coverage|segment_geometry|adaptive_evidence_qra|risk_matrix","报告责任页、复核记录和验收签批","VIRTUAL_TEST_ROLES_ASSIGNED","正式发布前替换为真实业务负责人、数据负责人和QRA复核人","PROJECT_SPONSOR","2026-08-31","manifest中的三个VIRTUAL_STAGE1_TEST角色和用户授权记录","CLOSED_FOR_INTERNAL_STAGE1_TEST"
"GAP-P2-COORDINATES","segment.start_xy_m|segment.end_xy_m|assessment.coordinate_system","缺少权威中心线端点坐标和坐标系；照片无GPS不得自动换算里程或坐标","P2_REDUCES_CONFIDENCE","FULL_QRA","leak_point_discretization|human_qra","泄漏点离散、沿线空间后果和人员风险","MISSING","提供竣工测量或GIS中心线并明确坐标系、基准和单位","DATA_OWNER","","经测绘/资产负责人批准的坐标文件及证据位置","OPEN"
"GAP-P2-WALL-COMMISSIONING","segment.wall_thickness_mm|segment.commissioning_year","缺少逐段名义壁厚和投产年份","P2_REDUCES_CONFIDENCE","FULL_QRA","aqt3046_source_term|gbt34346_annex_c|human_qra","正式源项、附录C校核和完整QRA","MISSING","提供设计/竣工台账中的壁厚和投产年份，禁止从钢级或外径推测","DATA_OWNER","","批准图纸或资产台账中的页码/单元格证据","OPEN"
"GAP-P2-OPERATING-CONDITIONS","OPERATING_CONDITIONS","仅有3.0至3.8 MPa来源范围，不能折成运行压力单值；压力基准、温度和组分缺失","P2_REDUCES_CONFIDENCE","FULL_QRA","aqt3046_source_term|gbt34346_annex_c|human_qra","AQ/T 3046源项、GB/T 34346校核和完整QRA","MISSING","提供带时间戳统计口径的压力、表压/绝压声明、温度和气质报告","OPERATIONS_OWNER","","批准的运行工况表、压力基准说明和气质化验报告","OPEN"
"GAP-P2-CIPS","EXTERNAL_CORROSION_CIPS","缺少逐测点CIPS保护电位、检测日期、单位和超限判据","P2_REDUCES_CONFIDENCE","SCREENING","indicator_coverage|adaptive_evidence_qra|risk_matrix","外腐蚀证据覆盖率、风险更新因子和不确定性带","MISSING","提供CIPS检测表；明确通电/断电电位、参比电极、单位和百分比口径","INTEGRITY_OWNER","","经完整性负责人确认的CIPS表及单元格证据","OPEN"
"GAP-P2-DEFECT-REPAIR","DEFECT_AND_REPAIR","缺少逐缺陷类别、尺寸、临界判定、维修状态和维护完成率","P2_REDUCES_CONFIDENCE","SCREENING","indicator_coverage|adaptive_evidence_qra|risk_matrix","检测维修证据覆盖率、风险更新因子和不确定性带","MISSING","提供缺陷与维修台账并由完整性负责人确认未修复临界缺陷口径","INTEGRITY_OWNER","","缺陷台账、维修关闭记录和复核签字","OPEN"
"GAP-P2-POPULATION","POPULATION_AND_RECEPTORS","高后果区台账只有汇总文字，缺少受体坐标、昼夜分布和室内外比例","P2_REDUCES_CONFIDENCE","FULL_QRA","adaptive_evidence_qra|human_qra|risk_matrix","筛查不确定性说明、IR、F-N和PLL完整空间结果","MISSING","提供人口/受体表、坐标系和扫描佐证；汇总文字不得直接生成population_cells","DATA_OWNER_AND_QRA_REVIEWER","","受体清单、空间证据和QRA复核记录","OPEN"
"GAP-P1-APPROVED-PARAMETERS","APPROVED_QRA_PARAMETER_LIBRARY","失效频率、孔径比例、物性、点火、泄漏点间距和风险准则虽有标准参考，但没有项目批准的参数库版本","P1_BLOCKS_TARGET_NODE","FULL_QRA","failure_frequency|leak_point_discretization|aqt3046_source_term|jet_fire_thresholds|gbt34346_annex_c|human_qra","正式失效频率、源项、后果、IR、F-N、PLL及接受性结论","REFERENCE_ONLY","由QRA专家建立版本化批准参数库并逐项记录标准条款、适用范围和审批记录；不得使用测试默认值","QRA_REVIEWER","","参数库版本、审批记录和适用性说明","OPEN"
