field_id,field_label_zh,entity_type,target_path,required_for_pilot,criticality,source_category,preferred_source_id,alternative_source_ids,extraction_method,source_unit,canonical_unit,evidence_requirement,confidence_threshold,review_required,conflict_policy,missing_policy,default_allowed,affected_node_ids,business_definition,current_availability,gap_id,notes
"pipeline.pipeline_id","管线编号","PIPELINE","pipeline.pipeline_id","true","CRITICAL","ASSET_AND_HCA_REGISTER","SRC-JJ-001","","DETERMINISTIC_TABLE","","","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_SNAPSHOT_AND_SCREENING","false","data_inventory|segment_geometry|adaptive_evidence_qra|risk_matrix","唯一标识九江支线，必须与试点范围GDBZYQ-JJ-1一致","AVAILABLE_UNVERIFIED_STAGED","GAP-P0-SECURE-CUSTODY","不得从文件名猜测管线编号"
"segment.segment_id","管段编号","SEGMENT","segments.*.segment_id","true","CRITICAL","ASSET_AND_HCA_REGISTER","SRC-JJ-001","","DETERMINISTIC_TABLE","","","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_SNAPSHOT_AND_SCREENING","false","segment_geometry|adaptive_evidence_qra|risk_matrix","第一版唯一权威管段编号；不得按照片变化点扩段","AVAILABLE_UNVERIFIED_STAGED","GAP-P0-AUTHORITATIVE-SIGNOFF","当前与管线编号相同"
"segment.start_km","起点里程","SEGMENT","segments.*.start_km","true","CRITICAL","ASSET_AND_HCA_REGISTER","SRC-JJ-001","","DETERMINISTIC_TABLE","km","km","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_SNAPSHOT_AND_SCREENING","false","segment_geometry|adaptive_evidence_qra|risk_matrix","权威管段起点累计里程","AVAILABLE_UNVERIFIED_STAGED","GAP-P0-AUTHORITATIVE-SIGNOFF","桩号表达必须保留原始证据"
"segment.end_km","终点里程","SEGMENT","segments.*.end_km","true","CRITICAL","ASSET_AND_HCA_REGISTER","SRC-JJ-001","","DETERMINISTIC_TABLE","km","km","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_SNAPSHOT_AND_SCREENING","false","segment_geometry|adaptive_evidence_qra|risk_matrix","权威管段终点累计里程","AVAILABLE_UNVERIFIED_STAGED","GAP-P0-AUTHORITATIVE-SIGNOFF","必须满足终点大于起点"
"segment.start_xy_m","中心线平面坐标","SEGMENT","segments.*.start_xy_m","false","DEFERRED_FULL_QRA","SURVEY_MAPPING","","SRC-JJ-001","MANUAL_ONLY","declared_coordinate","m","DOCUMENT_LOCATION_AND_COORDINATE_SYSTEM_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","leak_point_discretization|human_qra","管段中心线起点平面坐标，必须与坐标系成组出现","MISSING","GAP-P2-COORDINATES","缺坐标系时禁止映射"
"segment.end_xy_m","管段终点坐标","SEGMENT","segments.*.end_xy_m","false","DEFERRED_FULL_QRA","SURVEY_MAPPING","","SRC-JJ-001","MANUAL_ONLY","declared_coordinate","m","DOCUMENT_LOCATION_AND_COORDINATE_SYSTEM_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","leak_point_discretization|human_qra","管段中心线终点平面坐标，必须与坐标系成组出现","MISSING","GAP-P2-COORDINATES","缺坐标系时禁止映射"
"assessment.coordinate_system","坐标系","ASSESSMENT","assessment.coordinate_system","false","DEFERRED_FULL_QRA","SURVEY_MAPPING","","SRC-JJ-001","MANUAL_ONLY","","","DOCUMENT_AND_APPROVAL_LOCATION_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","leak_point_discretization|human_qra","坐标参考系、投影、基准和轴顺序的完整声明","MISSING","GAP-P2-COORDINATES","不得根据坐标数值形态猜测坐标系"
"segment.length_km","管段长度","SEGMENT","segments.*.length_km","true","CRITICAL","ASSET_AND_HCA_REGISTER","SRC-JJ-001","","DETERMINISTIC_TABLE","m","km","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_SNAPSHOT_AND_SCREENING","false","segment_geometry|adaptive_evidence_qra|risk_matrix","权威管段长度；应与起止里程差在合同容差内一致","AVAILABLE_UNVERIFIED_STAGED","GAP-P0-AUTHORITATIVE-SIGNOFF","源表以米记录，标准值以千米记录"
"segment.outside_diameter_mm","外径","SEGMENT","segments.*.outside_diameter_mm","false","HIGH","ASSET_AND_HCA_REGISTER","SRC-JJ-001","","DETERMINISTIC_TABLE","mm","mm","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|aqt3046_source_term|gbt34346_annex_c|human_qra|risk_matrix","管段钢管外径，不得与公称直径混用","AVAILABLE_UNVERIFIED_STAGED","GAP-P0-SECURE-CUSTODY","源列带mm后缀"
"segment.wall_thickness_mm","名义壁厚","SEGMENT","segments.*.wall_thickness_mm","false","HIGH","ASSET_AND_HCA_REGISTER","","SRC-JJ-001","MANUAL_ONLY","mm","mm","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","indicator_coverage|adaptive_evidence_qra|aqt3046_source_term|gbt34346_annex_c|human_qra|risk_matrix","对应当前管段的名义壁厚，不得由外径或钢级推断","MISSING","GAP-P2-WALL-COMMISSIONING","逐段壁厚缺失"
