source_id,sanitized_file_name,original_location_scope,file_type,detected_media_type,byte_count,sha256,page_count,sheet_count,data_category,business_purpose,data_period_start,data_period_end,version_group,business_owner,confidentiality,external_sharing_allowed,expected_extraction_route,expected_mapping_profile,current_status,data_classification,notes
"SRC-JJ-001","jiujiang_hca_register_v1.xls","APPROVED_SOURCE_ROOT","xls","application/vnd.ms-excel","93869056","267c319dd6c700ceb9a7ad52500e50f9267eb212b41b375e3f37ecacccc48903","","3","ASSET_AND_HCA_REGISTER","确认GDBZYQ-JJ-1管线边界、里程、长度、外径、材质及高后果区摘要","2024-10-27","2026-04-25","JJ-HCA-REGISTER","VIRTUAL_STAGE1_TEST_DATA_OWNER","CONFIDENTIAL_PROJECT","false","DETERMINISTIC_TABLE","jiangxi-natural-gas.jiujiang.v1","AVAILABLE_IN_APPROVED_SOURCE_ROOT","REAL_PROJECT_APPROVED_FOR_INTERNAL_TEST_ONLY","已于2026-08-31复制到批准目录并复核SHA-256；版本库仅登记脱敏名称"
"SRC-JJ-002","procurement_scope_document_v1.pdf","APPROVED_SOURCE_ROOT","pdf","application/pdf","1242854","803b73118aa6bb99c3e247ad8055b8c59c44d3db27fef2633b955a4fd7003195","54","","PROJECT_SCOPE_GOVERNANCE","核对服务范围、交付边界和角色要求；不得作为工程参数权威来源","2026-08-18","2026-08-18","PROCUREMENT-SCOPE","VIRTUAL_STAGE1_TEST_BUSINESS_OWNER","CONFIDENTIAL_PROJECT","false","NATIVE_DOCUMENT","","AVAILABLE_IN_APPROVED_SOURCE_ROOT","REAL_PROJECT_APPROVED_FOR_INTERNAL_TEST_ONLY","已于2026-08-31复制到批准目录；工程事实候选仍须由业主资料佐证"
"SRC-JJ-003","technical_proposal_v1.docx","APPROVED_SOURCE_ROOT","docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","384974","011c175b79e9815e4aceee016193a8d0586f93b8e4e98e5fe3ef46829506a900","32","","PROJECT_SCOPE_GOVERNANCE","核对拟议技术路线和交付物；不作为真实工程参数权威来源","2026-08-24","2026-08-24","TECHNICAL-PROPOSAL","VIRTUAL_STAGE1_TEST_BUSINESS_OWNER","CONFIDENTIAL_PROJECT","false","NATIVE_DOCUMENT","","AVAILABLE_IN_APPROVED_SOURCE_ROOT","REAL_PROJECT_APPROVED_FOR_INTERNAL_TEST_ONLY","已于2026-08-31复制到批准目录；与本试点冲突时以pilot manifest为准"
"SRC-STD-001","standard_quantitative_pipeline_risk_v1.pdf","APPROVED_SOURCE_ROOT","pdf","application/pdf","13494677","e6250ca9b1c4cd379c22ddda593001319dba7496aed86cc4b373dbdf9709a1ac","26","","REFERENCE_STANDARD","解释管段、失效频率和完整QRA后续阶段要求","2020-01-01","2020-12-31","STANDARD-SYT6891-2","VIRTUAL_STAGE1_TEST_QRA_REVIEWER","INTERNAL_REFERENCE","false","OCR_REQUIRED","","AVAILABLE_IN_APPROVED_SOURCE_ROOT","REFERENCE_STANDARD","已于2026-08-31复制到批准目录；扫描或低文本可提取性，本阶段不调用OCR"
"SRC-STD-002","standard_chemical_qra_guideline_v1.pdf","APPROVED_SOURCE_ROOT","pdf","application/pdf","866147","02f988a1594beb198af20d3614cb676ea9afbd917947a059f0c008161c3bf4c8","59","","REFERENCE_STANDARD","解释AQ/T 3046物性、源项和后果参数的后续审批依据","2013-01-01","2013-12-31","STANDARD-AQT3046","VIRTUAL_STAGE1_TEST_QRA_REVIEWER","INTERNAL_REFERENCE","false","NATIVE_DOCUMENT","","AVAILABLE_IN_APPROVED_SOURCE_ROOT","REFERENCE_STANDARD","已于2026-08-31复制到批准目录；参考标准不是项目事实或批准参数库"
"SRC-STD-003","standard_pipeline_hazard_classification_v1.pdf","APPROVED_SOURCE_ROOT","pdf","application/pdf","12864479","dddf043267124e02e4a30d01d169ab1b0c6f48fffcd0c8a3c90513620b3f65b5","40","","REFERENCE_STANDARD","解释GB/T 34346校核链及筛查与正式结论边界","2017-01-01","2017-12-31","STANDARD-GBT34346","VIRTUAL_STAGE1_TEST_QRA_REVIEWER","INTERNAL_REFERENCE","false","OCR_REQUIRED","","AVAILABLE_IN_APPROVED_SOURCE_ROOT","REFERENCE_STANDARD","已于2026-08-31复制到批准目录；本阶段不调用OCR且不作为项目参数默认值来源"
"SRC-REQ-001","required_operating_conditions.csv","APPROVED_SOURCE_ROOT_PENDING","csv","text/csv","","","","","OPERATING_CONDITIONS","提供有时间戳的运行压力、压力基准、温度和气体组分","","","JJ-OPERATING-CONDITIONS","UNASSIGNED","CONFIDENTIAL_PROJECT","false","DETERMINISTIC_TABLE","","MISSING","EXPECTED_REAL_PROJECT_SOURCE","不得把3.0-3.8 MPa范围折成单值；必须声明表压或绝压"
"SRC-REQ-002","required_cips_inspection.xlsx","APPROVED_SOURCE_ROOT_PENDING","xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","","","","","EXTERNAL_CORROSION_CIPS","提供逐测点保护电位、单位、判据和检测日期","","","JJ-CIPS","UNASSIGNED","CONFIDENTIAL_PROJECT","false","DETERMINISTIC_TABLE","","MISSING","EXPECTED_REAL_PROJECT_SOURCE","百分比必须有单位或列头；关键值必须保留单元格证据"
"SRC-REQ-003","required_defect_repair_register.xlsx","APPROVED_SOURCE_ROOT_PENDING","xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","","","","","DEFECT_AND_REPAIR","提供缺陷类别、尺寸、临界性、维修状态和维护计划完成率","","","JJ-DEFECT-REPAIR","UNASSIGNED","CONFIDENTIAL_PROJECT","false","DETERMINISTIC_TABLE","","MISSING","EXPECTED_REAL_PROJECT_SOURCE","缺陷与维修状态冲突必须人工复核"
"SRC-REQ-004","required_population_receptors_package.zip","APPROVED_SOURCE_ROOT_PENDING","zip","application/zip","","","","","POPULATION_AND_RECEPTORS","提供受体类型、坐标系、坐标、昼夜人口、室内外属性及1至2份扫描佐证","","","JJ-POPULATION-RECEPTORS","UNASSIGNED","STRICTLY_CONFIDENTIAL_PROJECT","false","MANUAL_ONLY","","MISSING","EXPECTED_REAL_PROJECT_SOURCE","ZIP不在第一版文件类型白名单；应在受控区解包后逐文件登记为XLSX/PDF/PNG/JPG"
