field_id,business_name,target_path,data_layer,source_document,source_location_type,source_unit,target_unit,criticality,extraction_method,target_nodes,missing_policy,conflict_policy,evidence_required,value_type,cardinality,contract_sources,node_requirement,default_or_prior,mapping_coverage,extraction_coverage,assembly_coverage,coverage_gap,notes
assessment,assessment,assessment,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,OPTIONAL,system,,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,object,OPTIONAL_ONE,QRA_INPUT_SCHEMA,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,REVIEW_ASSEMBLY_GAP,
assessment.as_of,评价基准日期,assessment.as_of,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,IMPORTANT,system,adaptive_evidence_qra|data_inventory|indicator_coverage,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,date,OPTIONAL_ONE,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,工程指标governance.assessment_date；组：项目、文件与数据治理；要求：REQUIRED。
assessment.assessment_id,评价编号,assessment.assessment_id,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,BLOCKING,system,human_qra,BLOCK_NODE_AND_REQUIRE_EXPLICIT_RUN_VALUE,EXPLICIT_DECISION_REQUIRED,false,string,OPTIONAL_ONE,FIELD_DICTIONARY|NODE_RUNTIME_REVIEW,PREFLIGHT_OR_RUNTIME_REQUIRED,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,评价编号
assessment.convergence,收敛判据,assessment.convergence,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,OPTIONAL,system,,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,object,OPTIONAL_ONE,NODE_RUNTIME_REVIEW,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,REVIEW_ASSEMBLY_GAP,
assessment.coordinate_system,坐标系,assessment.coordinate_system,PROJECT_FACT,01_管线与管段台账.xlsx,cell,,,OPTIONAL,deterministic,,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,string,OPTIONAL_ONE,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,DETERMINISTIC_MAPPING_GAP,坐标系
assessment.criteria_set_by_domain,分域准则集,assessment.criteria_set_by_domain,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,OPTIONAL,system,,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,object,OPTIONAL_ONE,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,分域准则集
assessment.enabled_consequence_domains,启用后果域,assessment.enabled_consequence_domains,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,OPTIONAL,system,,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,array,OPTIONAL_ONE,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,启用后果域
assessment.failure_probability_horizon_years,失效概率时间跨度,assessment.failure_probability_horizon_years,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,year,year,BLOCKING,system,failure_frequency,BLOCK_NODE_AND_REQUIRE_EXPLICIT_RUN_VALUE,EXPLICIT_DECISION_REQUIRED,false,number,OPTIONAL_ONE,NODE_RUNTIME_REVIEW,RUN_ASSUMPTION_REQUIRED_FOR_M1_5,CURRENT_CODE_DEFAULT=1.0 year; M1.5_RUN_ASSUMPTION_MUST_BE_EXPLICIT,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,REVIEW_ASSEMBLY_GAP,
assessment.judgement_status_by_domain,分域判定状态,assessment.judgement_status_by_domain,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,OPTIONAL,system,,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,object,OPTIONAL_ONE,NODE_RUNTIME_REVIEW,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,REVIEW_ASSEMBLY_GAP,
assessment.leak_point_initial_spacing_m,泄漏点初始间距,assessment.leak_point_initial_spacing_m,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,m,m,BLOCKING,system,human_qra|leak_point_discretization,BLOCK_NODE_AND_REQUIRE_EXPLICIT_RUN_VALUE,EXPLICIT_DECISION_REQUIRED,false,number,OPTIONAL_ONE,FIELD_DICTIONARY|NODE_RUNTIME_REVIEW,EXPLICIT_REQUIRED|PREFLIGHT_OR_RUNTIME_REQUIRED,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,泄漏点初始间距
assessment.reference_height_m,受体参考高度,assessment.reference_height_m,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,m,m,BLOCKING,system,human_qra,BLOCK_NODE_AND_REQUIRE_EXPLICIT_RUN_VALUE,EXPLICIT_DECISION_REQUIRED,false,number,OPTIONAL_ONE,NODE_RUNTIME_REVIEW,PREFLIGHT_OR_RUNTIME_REQUIRED,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,REVIEW_ASSEMBLY_GAP,
damage_model,测试损伤模型,damage_model,MODEL_PARAMETER,parameter-pack:synthetic-consequence-parameters-v1,system,,,OPTIONAL,system,,BLOCK_NODE_IF_VERSIONED_PARAMETER_PACK_MISSING,VERSIONED_PACK_SELECTION_ONLY,false,object,OPTIONAL_ONE,FIELD_DICTIONARY|QRA_INPUT_SCHEMA,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,仅用于合成测试和模型验证，不得作为客户资料抽取目标。
data_category_manifest,资料类别清单,data_category_manifest,RUN_ASSUMPTION,system-generated:source-pack-manifest-v1,system,,,IMPORTANT,system,data_inventory,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,object,OPTIONAL_ONE,FIELD_DICTIONARY|QRA_INPUT_SCHEMA|NODE_RUNTIME_REVIEW,OPTIONAL,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,资料类别清单
engineering_indicators,engineering_indicators,engineering_indicators,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,OPTIONAL,ocr,,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,object,OPTIONAL_ONE,QRA_INPUT_SCHEMA,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,DETERMINISTIC_MAPPING_GAP|EXTRACTION_SCHEMA_GAP|REVIEW_ASSEMBLY_GAP,
engineering_indicators.catalog_id,工程指标目录编号,engineering_indicators.catalog_id,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,IMPORTANT,system,data_inventory|indicator_coverage,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,string,OPTIONAL_ONE,FIELD_DICTIONARY|NODE_RUNTIME_REVIEW,OPTIONAL,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,工程指标目录编号
engineering_indicators.catalog_version,工程指标目录版本,engineering_indicators.catalog_version,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,IMPORTANT,system,indicator_coverage,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,string,OPTIONAL_ONE,FIELD_DICTIONARY|NODE_RUNTIME_REVIEW,OPTIONAL,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_SUPPORTED,NONE,工程指标目录版本
engineering_indicators.data_classification,工程指标数据分类,engineering_indicators.data_classification,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,OPTIONAL,system,,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,enum,OPTIONAL_ONE,NODE_RUNTIME_REVIEW,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,REVIEW_ASSEMBLY_GAP,
engineering_indicators.description,工程指标说明,engineering_indicators.description,RUN_ASSUMPTION,run-assumption:S00_BASELINE-v1,system,,,OPTIONAL,system,,REQUIRE_EXPLICIT_RECORD_OR_DOCUMENTED_NOT_APPLICABLE,EXPLICIT_DECISION_REQUIRED,false,string,OPTIONAL_ONE,NODE_RUNTIME_REVIEW,OPTIONAL_CONTRACT_FIELD,NONE,NOT_APPLICABLE_SYSTEM_INJECTION,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,REVIEW_ASSEMBLY_GAP,
